logId,logDate,foodId,foodName,mealTypeId,amount,unitId,unitName,calories,protein,fat,carbs,fiber,sodium
37729255910,2025-12-12,781681941,マイプロテイン(1食分31g),5,31.0,147,グラム,103,,,,,
37729580724,2025-12-12,768041092,えんばく(オートミール)(40g),5,100.0,147,グラム,380,,,,,
37729718539,2025-12-12,717010859,絹豆腐(1パック150g)(ローソンセレクト),5,150.0,147,グラム,90,,,,,
37730112114,2025-12-12,762402720,鯖缶詰(水煮),5,0.5,304,食分,209,,,,,
37730781389,2025-12-12,19318804,ファミチキ(ファミリーマート),6,1.0,304,食分,242,,,,,
37731332556,2025-12-12,768043569,ゆで卵(50g),5,100.0,147,グラム,152,,,,,
37731480268,2025-12-12,19292147,じゃがいも/塊茎、水煮,5,1.0,304,食分,95,,,,,
37732079714,2025-12-12,781682741,納豆,5,1.0,304,食分,90,,,,,
37729633748,2025-12-13,717008676,素焼きくるみ(1人前20g)(セブンプレミアム),4,20.0,147,グラム,148,,,,,
37729978251,2025-12-13,768041875,さつまいも(干し芋)(20g),4,60.0,147,グラム,183,,,,,
37730037838,2025-12-13,717010859,絹豆腐(1パック150g)(ローソンセレクト),5,150.0,147,グラム,90,,,,,
37730136160,2025-12-13,781681941,マイプロテイン(1食分31g),5,31.0,147,グラム,103,,,,,
37730195254,2025-12-13,768043417,むきあさり(100g)(神戸物産),5,30.0,147,グラム,9,,,,,
37730323539,2025-12-13,781682741,納豆,5,1.0,304,食分,90,,,,,
37731110610,2025-12-13,19306716,トマト缶詰/ホール、食塩無添加,5,1.0,304,食分,32,,,,,
37731169584,2025-12-13,19313546,はちみつ,5,1.0,304,食分,21,,,,,
37731445339,2025-12-13,768041092,えんばく(オートミール)(40g),5,100.0,147,グラム,380,,,,,
37731484771,2025-12-13,762402720,鯖缶詰(水煮),5,0.5,304,食分,209,,,,,
37731661836,2025-12-13,19292147,じゃがいも/塊茎、水煮,5,2.0,304,食分,190,,,,,
37731740709,2025-12-13,781682295,アボカド(25g),5,1.0,304,食分,46,,,,,
37733852810,2025-12-13,768043417,むきあさり(100g)(神戸物産),5,30.0,147,グラム,9,,,,,
37735622309,2025-12-13,768043569,ゆで卵(50g),5,100.0,147,グラム,152,,,,,
37737205592,2025-12-13,769322071,枝豆(ファミリーマート),5,0.3,304,食分,40,,,,,
37733807574,2025-12-14,762402720,鯖缶詰(水煮),5,0.5,304,食分,209,,,,,
37737209295,2025-12-14,781682295,アボカド(25g),5,1.0,304,食分,46,,,,,
37739195554,2025-12-14,781681941,マイプロテイン(1食分31g),5,31.0,147,グラム,103,,,,,
37739195558,2025-12-14,19292147,じゃがいも/塊茎、水煮,5,2.0,304,食分,190,,,,,
37739195560,2025-12-14,769322071,枝豆(ファミリーマート),5,0.3,304,食分,40,,,,,
37739421870,2025-12-14,717010859,絹豆腐(1パック150g)(ローソンセレクト),5,150.0,147,グラム,90,,,,,
37739756477,2025-12-14,768041875,さつまいも(干し芋)(20g),4,60.0,147,グラム,183,,,,,
37739845088,2025-12-14,768041092,えんばく(オートミール)(40g),5,100.0,147,グラム,380,,,,,
37740445397,2025-12-14,768043417,むきあさり(100g)(神戸物産),5,30.0,147,グラム,9,,,,,
37740474865,2025-12-14,781682958,ブルーベリ−(10g),1,1.0,304,食分,5,,,,,
37737272073,2025-12-15,781681941,マイプロテイン(1食分31g),5,31.0,147,グラム,103,,,,,
37738914370,2025-12-15,781681941,マイプロテイン(1食分31g),5,31.0,147,グラム,103,,,,,
37738953697,2025-12-15,781682295,アボカド(25g),5,1.0,304,食分,46,,,,,
37739416013,2025-12-15,768043417,むきあさり(100g)(神戸物産),5,30.0,147,グラム,9,,,,,
37739711334,2025-12-15,19274500,カレールウ(単品、一食分),5,1.0,304,食分,102,,,,,
37739918024,2025-12-15,768041092,えんばく(オートミール)(40g),5,100.0,147,グラム,380,,,,,
37740439014,2025-12-15,768041875,さつまいも(干し芋)(20g),4,60.0,147,グラム,183,,,,,
37742455496,2025-12-15,19313546,はちみつ,5,1.0,304,食分,21,,,,,
37742651594,2025-12-15,19292147,じゃがいも/塊茎、水煮,5,2.0,304,食分,190,,,,,
37742720332,2025-12-15,781682958,ブルーベリ−(10g),6,1.0,304,食分,5,,,,,
37742720333,2025-12-15,781682741,納豆,5,2.0,304,食分,180,,,,,
37742749152,2025-12-15,717008676,素焼きくるみ(1人前20g)(セブンプレミアム),4,20.0,147,グラム,148,,,,,
37742877157,2025-12-15,768043569,ゆで卵(50g),5,100.0,147,グラム,152,,,,,
37743231278,2025-12-15,762402720,鯖缶詰(水煮),5,0.5,304,食分,209,,,,,
37744617472,2025-12-15,768043561,有塩バター(12g),6,12.0,147,グラム,89,,,,,
37742822633,2025-12-16,717008676,素焼きくるみ(1人前20g)(セブンプレミアム),4,20.0,147,グラム,148,,,,,
37748741560,2025-12-16,19319356,フライドチキン(1本),4,1.0,251,個,257,,,,,
37749272868,2025-12-16,768041875,さつまいも(干し芋)(20g),4,30.0,147,グラム,92,,,,,
37750444174,2025-12-16,768041092,えんばく(オートミール)(40g),5,60.0,147,グラム,228,,,,,
37750719784,2025-12-16,19292147,じゃがいも/塊茎、水煮,5,2.0,304,食分,190,,,,,
37751172546,2025-12-16,19333166,木綿豆腐(1個150g),5,150.0,147,グラム,108,,,,,
37751251295,2025-12-16,769322071,枝豆(ファミリーマート),5,0.3,304,食分,40,,,,,
37751487538,2025-12-16,768043569,ゆで卵(50g),5,100.0,147,グラム,152,,,,,
37751664651,2025-12-16,768043417,むきあさり(100g)(神戸物産),5,30.0,147,グラム,9,,,,,
37751920574,2025-12-16,781682295,アボカド(25g),5,0.8,304,食分,37,,,,,
37752087894,2025-12-16,762402720,鯖缶詰(水煮),5,0.5,304,食分,209,,,,,
37752235548,2025-12-16,768043561,有塩バター(12g),6,10.0,147,グラム,74,,,,,
37753967861,2025-12-16,781681941,マイプロテイン(1食分31g),5,31.0,147,グラム,103,,,,,
37754017044,2025-12-16,781682741,納豆,5,1.0,304,食分,90,,,,,
37754351374,2025-12-16,781682958,ブルーベリ−(10g),6,1.0,304,食分,5,,,,,
37750881674,2025-12-17,769322071,枝豆(ファミリーマート),5,0.3,304,食分,40,,,,,
37751058772,2025-12-17,781681941,マイプロテイン(1食分31g),5,31.0,147,グラム,103,,,,,
